section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3,description_4
academic_papers,TRUE,[Statistical Analysis of Defensive Production in Major League Baseball](http://christopherteixeira.com/files/MQPReport.pdf),Worcester Polytechnic Institute,NA,2006,2006,"Authored with Allison Haskins, Alyssa Lopes.",NA,NA,NA
academic_papers,TRUE,[Team Organization Senior Softball](http://christopherteixeira.com/files/OR680FinalReport.pdf),George Mason University,NA,2010,2010,"Authored with Trevor Caskey, Lisa Kaiser, Adam Robison. ",NA,NA,NA
data_science_writings,FALSE,"[Predictive Analytics In Child Welfare: An Assessment Of Current Efforts, Challenges And Opportunities](https://aspe.hhs.gov/pdf-report/predictive-analytics-child-welfare-assessment-current-efforts-challenges-and-opportunities)",MITRE,NA,NA,2017,"This document explores the state of the use of predictive analytics in child welfare by conducting an environmental scan of child welfare agencies, academia, nonprofit organizations, and for-profit vendors. ",Completed through the support of [HHS ASPE](https://aspe.hhs.gov/).,NA,NA
data_science_writings,TRUE,[Predictive Analytics in Child Welfare: Considerations in Contracting Vendors for Predictive Analytics](https://www.mitre.org/publications/technical-papers/predictive-analytics-in-child-welfare-considerations-in-contracting),MITRE,NA,NA,2018,This document gives an overview of sections in an RFP that need to be considered carefully when trying to contract a vendor for predictive analytics support.,Completed through the support of [HHS ASPE](https://aspe.hhs.gov/).,NA,NA
data_science_writings,TRUE,[Predictive Analytics in Child Welfare: An Introduction for Administrators and Policy Makers](https://aspe.hhs.gov/pdf-report/predictive-analytics-child-welfare-introduction-administrators-and-policy-makers),MITRE,NA,NA,2017,This document provides an overview of different analytical approaches and goes into a set of criteria that should be used in determining if predictive analytics is the right approach to solving a problem.,Completed through the support of [HHS ASPE](https://aspe.hhs.gov/).,NA,NA
education,TRUE,"B.S., Mathematics",Worcester Polytechnic Institute,"Worcester, MA",2002,2006,Focus in Applied Statistics and Probability,"Capstone project using Factor Analysis, PCA, and logistic regression",NA,NA
education,TRUE,"M.S., Operations Research",George Mason University,"Fairfax, VA",2008,2010,Concentration in Decision Analysis,Capstone project using Integer Programming,NA,NA
industry_positions,TRUE,Operations Research Analyst,SAIC,"McLean, VA",2006,2011,"Contribute to multiple projects using my knowledge of mathematics, statistics, and operations research across multiple Federal agencies including NASA, FEMA, and HSARPA.",NA,NA,NA
industry_positions,TRUE,Senior Analytics Consultant,IBM,"Herndon, VA",2011,2012,"Work on site with clients, collaborating with other contractors on data analysis projects using SAS products.  ",Support business development activities for federal and private clients and work with contracts to submit proposals.,NA,NA
industry_positions,TRUE,Senior Analytics Consultant,Epsilon,"Wakefield, MA",2012,2014,Work closely with remote clients to understand their needs and translate into tasking for team members. ,"Lead small teams to perform various statistical and data analysis studies using a combination of SAS, Netezza, Tableau, R, and Python.","Provide division wide support as an integer optimization expert and assisted in business development activities, including writing proposals and initial scoping of projects with clients. ",NA
industry_positions,TRUE,Chief Engineer,MITRE,"Bedford, MA",2014,2023,"Collaborate with various organizations to understand their problem space, explain tradeoffs between different technical approaches, and translate into acquisition materials.","Apply expertise across a number of data science, operations research, and statistics applications across domains.",Design and refine hiring processes for different roles including mentoring staff in growing their technical and management skills.,Provide oversight across multiple projects to ensure sound technical approaches and adherence to quality assurance processes. 
work_projects,FALSE,[Transit Risk and Assessment Methodology](http://christopherteixeira.com/project/tram/),SAIC,NA,2006,2009,Served as the data manager for analysis of counter-terrorism defense measures in place for several mass transit systems under the Transit Risk Assessment Module.  ,Performed cost-benefit analysis for several jurisdictions using the Risk Management Tool.,Aided as the cost-benefit analysis specialist during the TRAM workshops. ,NA
work_projects,TRUE,[NASA - Probabilistic Campaign Manifest Analysis Tool](http://christopherteixeira.com/project/pcmat/),SAIC,NA,2006,2009,Updated and expanded the capabilities of this simulation tool to track new metrics and increase the number of Bernoulli trials run within the course of a campaign. ,"Effort on this work was acknowledged in the ""[SEEKING A HUMAN SPACEFLIGHT PROGRAM WORTHY OF A GREAT NATION](https://www.nasa.gov/pdf/617036main_396093main_HSF_Cmte_FinalReport.pdf)"" report to Congress.",NA,NA
work_projects,FALSE,[Port Operations Analysis for PNNL](http://christopherteixeira.com/project/pnnl/),SAIC,NA,2009,2009,Using AnyLogic to build a combined Discrete Event / Agent Based model to determine the effects of introducing delays to a seaport's operations. ,Build reports given the results of a sensitivity analysis or Monte Carlo run version of the model. ,Compiled an applet version of the model and combined with an HTML interface to supply to the customer.,NA
work_projects,FALSE,[Healthcare Claims Fraud](http://christopherteixeira.com/project/aetna/),IBM,NA,2010,2010,Statistical approach to determining regional based fraud in healthcare claims.,NA,NA,NA
work_projects,TRUE,[JIEDDO - Operations Research and Systems Analysis Support](http://christopherteixeira.com/project/jieddo/),IBM,NA,2011,2011,"Supporting the warfighter with statistical analysis, data management, and data visualization techniques.",NA,NA,NA
work_projects,FALSE,[Customer Attrition Analysis](http://christopherteixeira.com/project/customer-attrition-analysis/),Epsilon,NA,2012,2012,Worked with team members to build a Bayesian Belief Network (BBN) on large data sources in Netezza to predict the likelihood of a person closing an account with our client. ,I compared the BBN model results against Logistic Regression to determine best modeling approach.,NA,NA
work_projects,FALSE,[Sentiment Analysis for Specific Brands/Products](http://christopherteixeira.com/project/sentiment-analysis/),Epsilon,NA,2013,2013,Translating unstructured text to interpret feelings towards a brand.,NA,NA,NA
work_projects,FALSE,[Real Time Predictive Modeling](http://christopherteixeira.com/project/realtime-predictive-modeling/),Epsilon,NA,2014,2014,Design and implement a model to perform real time predictions.,NA,NA,NA
work_projects,FALSE,[Strategic Workforce Model](http://christopherteixeira.com/project/strategic-workforce-model/),MITRE,NA,2015,2017,Lead an effort to measure and simulate workforce movements with a corporation.,Modified an initial model in AnyLogic to understand various hiring strategies.,Built a micro simulation in Python to evaluate a variety of hiring strategies and finance decisions.,NA
work_projects,FALSE,[Children at Risk Research](http://christopherteixeira.com/project/children-at-risk-research/),MITRE,NA,2015,2015,Using analytics to determine risk factors associated with child fatalities.,NA,NA,NA
work_projects,FALSE,[Financial Metrics Visual Model](http://christopherteixeira.com/project/financial-metrics-visual-model/),MITRE,NA,2015,2015,Using simple modeling techniques to understand impact to corporate finances.,NA,NA,NA
work_projects,FALSE,[Predictive Analytics in Child Welfare](http://christopherteixeira.com/project/predictive-analytics-child-welfare/),MITRE,NA,2016,2018,Lead 2-3 staff members to help child welfare agencies understand the use of predictive analytics.,Published 3 papers to support child welfare agencies.,Completed small analysis to fuse data from various state agencies to do a longitudinal study of foster children.,NA
work_projects,FALSE,[Department of Energy Cost and Schedule Tool](http://christopherteixeira.com/project/doe-cost-and-schedule-tool/),MITRE,NA,2016,2016,Developed a discrete event simulation model capable of performing life cycle cost and schedule analysis. ,This model supports executives that make decisions on alternative strategies which are expected to cost on the order of tens of billions of dollars.,Recognized for contribution with internal award.,NA
work_projects,FALSE,[Veteran Benefits Administration Command and Control Model](http://christopherteixeira.com/project/vba-command-and-control-model/),MITRE,NA,2016,2016,Understand bottlenecks and other systemic issues to increase system efficiency and simulate them through a browser based tool built on SimJS.,Utilized Tableau to create a dashboard to summarize the current status of claims.,NA,NA
work_projects,TRUE,[State Engagement to Address Opioid Overprescribing and Misuse](http://christopherteixeira.com/project/state-engagement-to-address-opioid-overprescribing-and-misuse/),MITRE,NA,2017,2020,Manage a team of 30+ staff with a variety of disciplines.,"Met objectives to use analytics to define opioid prescribing behavior, create to working groups to advise and review, and create a framework to measure opioid prescribing.",Presented a variety of data science applications to state officials.,NA
work_projects,TRUE,[COVID-19 Healthcare Coalition](https://christopherteixeira.com/project/c19hcc/),MITRE,NA,2020,2020,Support decision makers in understanding the complexity around the evolving COVID-19 pandemic. ,Lead a small team to use a variety of disparate data sources to explain areas of the United States that were vulnerable to the virus.,"Coordinated over 100 organizations to use the combination of data, technology, and expertise to address a variety of challenges during the pandemic.",NA
work_projects,TRUE,[Data Science Upskilling for the CDC](https://christopherteixeira.com/project/cdc-dsu/),MITRE,NA,2020,2023,Manage a team of ten data scientists that support CDC's efforts in upskilling staff in data science competencies.,Advise several data science capstone projects on the use and interpretation of different data science techniques.,NA,NA
